Date,Age,Life Event,Life Event
1987,29,5 weeks later pleaded guilty to charge of criminal trespass and possession of dangerous weapon; spent 5 days in jail and underwent psychological counseling,5 weeks later pleaded guilty to charge of criminal trespass and possession of dangerous weapon; spent 5 days in jail and underwent psychological counseling
1987,29,"MMPI results: self-centered, limited in capacity to form deep interpersonal relationships, quite impulsive, demonstrate poor judgment, have little patience or frustration tolerance, take risks, often rebellious toward authority figures, and have trouble incorporating traditional standards and values of society","MMPI results: self-centered, limited in capacity to form deep interpersonal relationships, quite impulsive, demonstrate poor judgment, have little patience or frustration tolerance, take risks, often rebellious toward authority figures, and have trouble incorporating traditional standards and values of society"
1987,29,Diagnosed with Antisocial Personality Disorder,Diagnosed with Antisocial Personality Disorder
1987,29,Got banned from Denny’s for stealing tips,Got banned from Denny’s for stealing tips
1988,30,"Hired at Nintendo arcade; skimmed $23,000 in 8 months and was fired","Hired at Nintendo arcade; skimmed $23,000 in 8 months and was fired"
1989,31,“Born again Christian”,“Born again Christian”
1989,31,Moved in with blue-eyed Mindy Charley; later began physically abusing her,Moved in with blue-eyed Mindy Charley; later began physically abusing her
1989,31,Showed interest in Green River murder case and the 49 victims,Showed interest in Green River murder case and the 49 victims
1989,31,Went to King County jail for 5 days for drug charges,Went to King County jail for 5 days for drug charges
1989,31,Committed around 60 burglaries in Kirkland,Committed around 60 burglaries in Kirkland
02-20-90,31,Arrested for domestic assault,Arrested for domestic assault
03-21-90,31,Went to court for domestic chargers,Went to court for domestic chargers
1990,31,"Banned from Black Angus restaurant, future site of first murder","Banned from Black Angus restaurant, future site of first murder"
06-22-90,32,"Killed first victim, Mary Ann Pohlreich (WF, 27), by strangling her outside; postmortem poised body so that legs and arms were crossed with a pinecone underneath hands as if in coffin; also, covered her eye with a plastic top","Killed first victim, Mary Ann Pohlreich (WF, 27), by strangling her outside; postmortem poised body so that legs and arms were crossed with a pinecone underneath hands as if in coffin; also, covered her eye with a plastic top"
08-09-90,32,"Killed second victim, Carol Beethe (WF, 35) by beating in the head; bit her on arms; post-mortem: kicked, shoved gun 5.5 inches up vaginal area, wrapped head in plastic wrap, covered with a large pillow, and posed body so legs were spread towards the door","Killed second victim, Carol Beethe (WF, 35) by beating in the head; bit her on arms; post-mortem: kicked, shoved gun 5.5 inches up vaginal area, wrapped head in plastic wrap, covered with a large pillow, and posed body so legs were spread towards the door"
08-31-90,32,"Killed third victim, Andrea Levine (WF, 24), by stabbing 250 times; bashed back of skull in, shoved an electric sex toy down her throat, and placed the book More Joy of Sex  in her left hand.","Killed third victim, Andrea Levine (WF, 24), by stabbing 250 times; bashed back of skull in, shoved an electric sex toy down her throat, and placed the book More Joy of Sex  in her left hand."
09-12-90,32,Arrested for suspect in murder cases,Arrested for suspect in murder cases
10-10-91,32,Charged with 1st degree murder in Pohlreich case,Charged with 1st degree murder in Pohlreich case
10-25-91,33,Convicted,Convicted
,,,
,,,
